Age,Attrition,Department,JobRole,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,EducationField,WorkLifeBalance,PerformanceRating,DistanceFromHome,NumCompaniesWorked,MaritalStatus,Gender,EnvironmentSatisfaction,RelationshipSatisfaction,StockOptionLevel
37,No,Sales,Manager,50905,3,1,No,Life Sciences,4,3,5,1,Single,Male,4,3,0
28,No,Research & Development,Research Director,40791,3,2,No,Medical,3,3,16,9,Married,Female,3,1,0
32,Yes,Research & Development,Manufacturing Director,23158,2,0,No,Human Resources,2,4,9,9,Divorced,Male,1,1,0
49,Yes,Research & Development,Research Director,90566,3,1,No,Human Resources,2,3,28,4,Divorced,Male,1,2,3
45,No,Research & Development,Laboratory Technician,72158,2,12,Yes,Human Resources,4,3,20,6,Married,Male,1,2,0
39,No,Research & Development,Research Director,87283,4,20,Yes,Marketing,3,3,22,6,Married,Male,1,4,2
58,Yes,Research & Development,Research Scientist,50113,1,2,No,Medical,3,3,3,1,Married,Female,2,2,1
34,Yes,Sales,Sales Representative,63019,1,2,No,Other,3,3,19,6,Married,Female,4,1,2
43,Yes,Research & Development,Laboratory Technician,109649,4,2,Yes,Other,4,3,5,5,Married,Male,2,2,2
24,Yes,Research & Development,Manufacturing Director,64923,2,2,No,Other,1,3,8,6,Divorced,Female,3,2,2
59,Yes,Research & Development,Healthcare Representative,87622,2,0,No,Human Resources,1,3,14,7,Married,Female,1,2,1
43,No,Research & Development,Laboratory Technician,47711,2,18,No,Human Resources,2,3,24,3,Married,Male,4,1,2
42,Yes,Research & Development,Healthcare Representative,85048,2,1,No,Medical,2,4,3,0,Married,Male,2,1,3
27,No,Research & Development,Research Director,49630,4,3,No,Life Sciences,2,3,24,7,Married,Male,4,4,3
36,Yes,Research & Development,Research Scientist,20000,1,0,No,Human Resources,1,3,13,7,Married,Male,2,2,1
28,No,Research & Development,Manufacturing Director,64787,3,13,Yes,Other,4,3,11,2,Married,Male,4,2,3
30,No,Research & Development,Healthcare Representative,51831,3,9,No,Life Sciences,2,4,29,2,Single,Male,4,1,0
25,No,Research & Development,Laboratory Technician,20000,1,20,No,Human Resources,4,3,8,4,Single,Male,1,4,3
57,No,Research & Development,Healthcare Representative,70361,4,10,Yes,Technical Degree,2,3,19,2,Married,Female,2,4,2
21,No,Research & Development,Laboratory Technician,39981,3,2,No,Marketing,4,3,10,4,Divorced,Female,3,1,3
48,Yes,Research & Development,Healthcare Representative,151593,1,1,No,Human Resources,4,3,29,7,Single,Male,4,2,0
45,No,Sales,Sales Representative,23995,4,8,No,Technical Degree,1,3,26,0,Married,Male,3,4,0
28,No,Research & Development,Research Director,31038,3,3,Yes,Medical,4,3,18,1,Married,Male,1,4,0
18,No,Sales,Sales Representative,89347,2,5,No,Technical Degree,3,3,26,1,Single,Male,3,2,2
55,No,Research & Development,Laboratory Technician,61275,2,0,No,Medical,1,4,18,3,Divorced,Male,4,4,0
41,Yes,Research & Development,Research Scientist,88777,4,0,Yes,Human Resources,2,3,25,8,Divorced,Male,4,2,2
48,No,Sales,Sales Representative,75650,2,5,No,Medical,1,3,7,1,Single,Male,4,4,0
58,No,Research & Development,Research Scientist,48695,4,5,No,Technical Degree,3,4,16,8,Married,Male,2,4,2
43,No,Sales,Sales Executive,26385,1,9,No,Marketing,3,4,6,6,Married,Male,3,1,2
22,Yes,Sales,Sales Representative,94990,1,0,Yes,Life Sciences,4,3,16,9,Divorced,Female,2,4,2
37,No,Research & Development,Research Scientist,28923,3,5,No,Life Sciences,3,4,16,7,Single,Male,4,2,3
58,No,Research & Development,Research Director,80649,4,1,No,Marketing,3,3,23,0,Single,Male,4,4,0
28,No,Sales,Manager,90731,3,0,No,Other,3,3,24,4,Married,Male,1,1,2
50,No,Research & Development,Research Scientist,61446,3,3,No,Life Sciences,3,4,28,8,Divorced,Female,1,4,0
55,Yes,Research & Development,Manufacturing Director,56483,1,1,No,Human Resources,2,3,1,3,Single,Female,4,3,3
44,No,Sales,Manager,37455,3,1,Yes,Other,2,3,24,1,Married,Male,2,2,1
51,Yes,Research & Development,Healthcare Representative,77956,2,2,No,Human Resources,1,3,19,5,Single,Female,2,3,0
32,No,Sales,Sales Executive,20000,3,2,No,Technical Degree,4,3,3,1,Divorced,Male,4,1,0
49,No,Sales,Sales Representative,85040,4,0,No,Technical Degree,2,3,6,2,Single,Female,3,3,3
38,Yes,Research & Development,Research Scientist,68345,2,0,Yes,Other,3,3,4,7,Divorced,Male,2,4,2
22,No,Research & Development,Manufacturing Director,58761,1,1,No,Other,4,4,4,2,Married,Male,4,2,0
23,Yes,Research & Development,Manufacturing Director,71784,4,0,No,Other,2,3,4,1,Married,Female,1,3,1
55,No,Research & Development,Laboratory Technician,26540,2,6,No,Other,1,3,10,5,Divorced,Male,4,4,3
39,No,Human Resources,Manager,20000,4,2,Yes,Medical,3,4,9,2,Divorced,Female,2,3,2
35,No,Research & Development,Manufacturing Director,78120,2,2,Yes,Other,4,3,8,0,Married,Male,4,4,0
31,Yes,Research & Development,Laboratory Technician,101863,4,2,Yes,Other,2,3,19,2,Single,Female,3,4,0
27,No,Research & Development,Research Director,20000,4,7,No,Technical Degree,4,3,17,5,Married,Male,3,3,3
30,Yes,Sales,Sales Executive,35530,2,14,Yes,Human Resources,2,3,17,2,Married,Male,2,1,2
48,Yes,Research & Development,Research Director,86065,1,9,Yes,Technical Degree,1,3,1,8,Married,Female,4,2,2
47,No,Sales,Sales Executive,75048,1,9,Yes,Life Sciences,3,3,20,6,Married,Female,3,1,3
20,No,Sales,Sales Executive,147967,4,4,No,Medical,1,3,14,4,Single,Female,3,3,0
47,No,Human Resources,Human Resources,95118,4,8,Yes,Medical,3,3,22,1,Married,Female,1,4,0
23,No,Research & Development,Research Director,88391,1,5,No,Human Resources,3,3,20,8,Married,Female,2,3,2
46,No,Research & Development,Laboratory Technician,43613,1,1,No,Other,4,3,27,4,Single,Male,1,4,2
25,No,Research & Development,Manufacturing Director,79694,3,1,No,Technical Degree,2,3,11,6,Married,Male,1,4,1
50,Yes,Sales,Manager,106871,1,2,No,Life Sciences,1,3,3,8,Married,Male,3,1,1
34,No,Sales,Sales Representative,60397,4,16,No,Technical Degree,1,3,24,3,Married,Male,4,1,1
28,Yes,Sales,Sales Executive,61717,2,5,No,Other,1,4,8,8,Single,Female,1,3,2
30,No,Research & Development,Healthcare Representative,68957,1,9,No,Other,4,3,22,0,Married,Male,2,2,2
28,No,Research & Development,Laboratory Technician,46394,3,2,No,Marketing,4,4,25,5,Single,Female,2,1,2
48,No,Research & Development,Research Director,72530,3,3,No,Technical Degree,4,3,28,1,Married,Male,4,4,0
45,Yes,Sales,Manager,71831,3,0,No,Human Resources,3,4,10,7,Married,Female,2,3,3
23,Yes,Research & Development,Healthcare Representative,106439,2,1,No,Technical Degree,1,3,17,4,Married,Male,1,3,2
58,No,Research & Development,Healthcare Representative,59697,1,12,No,Medical,3,3,29,2,Single,Male,4,2,0
33,Yes,Research & Development,Manufacturing Director,83892,1,6,No,Life Sciences,1,3,8,1,Married,Female,2,3,2
21,No,Research & Development,Healthcare Representative,60532,1,2,No,Human Resources,1,3,22,7,Divorced,Male,2,1,3
52,Yes,Research & Development,Laboratory Technician,82913,2,11,No,Marketing,2,3,1,6,Single,Male,1,4,2
43,Yes,Sales,Sales Representative,57998,2,1,Yes,Life Sciences,1,3,20,8,Divorced,Male,1,3,0
29,No,Research & Development,Research Scientist,81057,4,26,Yes,Life Sciences,4,3,21,7,Married,Male,1,3,2
28,No,Research & Development,Laboratory Technician,85390,3,2,No,Medical,4,3,7,3,Married,Male,1,4,2
54,No,Sales,Sales Representative,35133,3,2,Yes,Medical,4,3,24,1,Single,Female,4,3,2
42,Yes,Sales,Manager,95866,1,2,No,Medical,2,3,9,1,Single,Male,4,3,1
35,Yes,Sales,Sales Representative,60338,2,0,Yes,Human Resources,2,3,28,1,Divorced,Male,4,2,2
36,Yes,Sales,Sales Executive,51845,2,0,No,Technical Degree,3,3,12,5,Married,Male,3,1,0
40,Yes,Research & Development,Research Scientist,45119,1,7,No,Life Sciences,1,3,22,6,Single,Female,1,3,0
55,No,Research & Development,Healthcare Representative,73349,1,14,No,Technical Degree,1,3,26,5,Married,Female,1,1,0
35,No,Research & Development,Research Scientist,64870,4,10,No,Technical Degree,4,3,9,1,Single,Male,4,2,2
43,No,Sales,Manager,75382,3,1,Yes,Medical,4,3,20,3,Divorced,Male,2,1,3
23,Yes,Research & Development,Manufacturing Director,75926,3,5,Yes,Technical Degree,4,3,24,2,Married,Male,2,2,0
21,No,Research & Development,Research Scientist,82040,3,0,No,Life Sciences,4,3,3,3,Divorced,Female,1,1,1
46,Yes,Sales,Sales Representative,142735,4,0,No,Life Sciences,4,3,4,4,Divorced,Female,1,1,3
51,Yes,Research & Development,Healthcare Representative,66111,1,7,No,Other,4,4,10,6,Single,Female,4,3,0
34,No,Research & Development,Research Director,44431,1,5,No,Marketing,1,3,4,8,Married,Male,1,1,2
33,Yes,Research & Development,Research Scientist,20000,3,0,No,Human Resources,2,3,22,1,Married,Male,2,3,1
19,No,Research & Development,Research Director,31531,3,0,No,Technical Degree,4,3,9,7,Married,Male,2,3,0
51,No,Sales,Manager,99589,4,32,No,Human Resources,1,3,22,2,Divorced,Male,1,1,1
25,Yes,Research & Development,Research Scientist,85157,2,0,Yes,Human Resources,4,3,1,8,Married,Male,4,3,3
30,No,Research & Development,Manufacturing Director,27200,2,4,No,Human Resources,3,3,5,9,Single,Male,4,1,0
59,No,Research & Development,Research Director,133997,3,4,No,Other,3,4,9,3,Divorced,Female,2,4,2
25,No,Research & Development,Research Director,74149,4,0,Yes,Human Resources,1,4,5,2,Single,Male,4,3,1
47,No,Research & Development,Manufacturing Director,77888,3,1,No,Other,2,3,6,9,Single,Female,2,4,0
49,Yes,Sales,Sales Representative,127838,2,3,Yes,Life Sciences,3,3,19,5,Married,Male,1,4,3
53,No,Sales,Manager,113704,3,10,No,Technical Degree,3,3,8,9,Divorced,Female,2,3,3
47,Yes,Research & Development,Laboratory Technician,86871,2,4,No,Other,2,3,10,8,Married,Female,1,2,0
18,No,Sales,Manager,88217,2,7,No,Marketing,3,4,11,6,Single,Female,4,2,3
56,No,Research & Development,Manufacturing Director,90837,2,29,No,Human Resources,4,3,13,3,Married,Female,3,4,1
34,No,Research & Development,Research Director,58252,1,10,No,Marketing,2,3,20,2,Married,Female,3,4,1
37,No,Research & Development,Manufacturing Director,73030,1,3,No,Life Sciences,3,3,4,9,Married,Male,3,1,1
41,No,Research & Development,Healthcare Representative,81080,3,4,No,Life Sciences,2,3,11,3,Single,Male,2,4,1
39,Yes,Research & Development,Healthcare Representative,61450,2,6,No,Medical,4,4,12,2,Married,Female,3,3,3
46,No,Research & Development,Research Director,37968,1,7,No,Human Resources,3,3,5,2,Divorced,Female,2,2,0
39,No,Research & Development,Manufacturing Director,57548,3,4,No,Medical,1,3,10,8,Single,Female,4,2,3
26,Yes,Research & Development,Manufacturing Director,37337,3,7,Yes,Marketing,3,3,25,3,Single,Male,1,2,3
54,Yes,Research & Development,Manufacturing Director,66802,3,0,No,Technical Degree,3,3,29,8,Divorced,Male,3,3,0
27,Yes,Human Resources,Manager,20000,3,3,Yes,Medical,4,3,24,9,Married,Female,2,1,0
53,No,Research & Development,Laboratory Technician,74549,3,2,Yes,Life Sciences,1,3,7,4,Divorced,Female,4,3,2
54,No,Sales,Sales Representative,20000,4,0,No,Human Resources,1,3,21,6,Single,Male,4,3,1
45,Yes,Sales,Manager,53702,2,0,Yes,Marketing,1,4,9,4,Single,Male,3,2,0
45,Yes,Sales,Sales Executive,79114,3,6,No,Other,4,3,9,0,Married,Male,4,3,3
59,No,Sales,Sales Representative,87152,4,5,No,Life Sciences,4,3,10,1,Married,Male,4,4,1
38,Yes,Sales,Sales Representative,83826,2,2,No,Other,4,3,10,4,Married,Male,4,3,1
41,No,Research & Development,Manufacturing Director,73952,1,4,No,Technical Degree,4,3,2,5,Married,Male,2,2,3
59,No,Sales,Sales Representative,33660,3,4,No,Human Resources,4,3,4,6,Single,Female,4,2,0
57,Yes,Sales,Manager,92457,4,1,Yes,Technical Degree,1,4,8,1,Married,Male,4,3,1
19,Yes,Research & Development,Laboratory Technician,34300,1,7,No,Technical Degree,2,3,29,9,Married,Male,4,4,1
25,No,Sales,Manager,95648,4,10,No,Human Resources,4,3,14,8,Married,Female,4,4,1
44,No,Research & Development,Manufacturing Director,82575,2,10,No,Human Resources,2,3,17,5,Married,Female,4,2,1
39,No,Sales,Sales Executive,103049,2,6,No,Other,3,3,13,1,Married,Female,2,4,1
54,No,Sales,Sales Executive,65696,1,5,No,Technical Degree,3,4,21,1,Married,Male,4,4,3
44,No,Research & Development,Manufacturing Director,42074,4,0,No,Marketing,4,3,24,2,Single,Female,4,1,0
46,No,Research & Development,Laboratory Technician,28805,3,2,No,Other,3,4,18,0,Married,Male,1,1,0
20,No,Research & Development,Laboratory Technician,31915,3,0,Yes,Human Resources,2,4,18,8,Single,Female,4,4,1
30,No,Research & Development,Manufacturing Director,20000,1,23,No,Life Sciences,3,3,13,9,Married,Female,4,4,1
27,No,Research & Development,Manufacturing Director,91376,1,1,No,Other,3,3,8,3,Divorced,Male,2,1,1
53,Yes,Sales,Sales Executive,94887,1,1,Yes,Medical,2,4,26,4,Married,Male,4,1,3
26,Yes,Sales,Sales Representative,80503,4,15,No,Marketing,3,3,12,6,Single,Male,2,1,3
44,No,Research & Development,Manufacturing Director,64074,3,20,No,Other,4,3,25,0,Divorced,Female,3,2,2
51,No,Research & Development,Manufacturing Director,122706,3,10,No,Human Resources,2,3,23,2,Single,Male,4,2,1
18,Yes,Human Resources,Manager,62251,3,0,Yes,Human Resources,2,3,24,2,Single,Female,1,1,2
49,Yes,Research & Development,Research Director,71185,1,0,No,Marketing,1,3,21,1,Married,Male,2,1,2
42,Yes,Research & Development,Research Scientist,63660,3,3,Yes,Medical,1,3,1,7,Married,Male,3,1,2
46,No,Research & Development,Healthcare Representative,55527,2,1,No,Other,2,3,20,4,Single,Female,1,2,0
24,Yes,Research & Development,Research Scientist,82667,1,0,Yes,Other,2,4,18,0,Married,Female,2,2,2
20,No,Research & Development,Research Director,47262,3,4,No,Technical Degree,1,3,3,1,Married,Female,3,4,1
37,No,Research & Development,Healthcare Representative,45383,4,20,No,Life Sciences,4,3,12,0,Single,Male,1,3,3
37,No,Research & Development,Manufacturing Director,84081,1,2,No,Human Resources,3,3,19,5,Married,Male,4,4,1
47,No,Research & Development,Research Director,51066,2,7,Yes,Other,3,3,25,8,Married,Male,1,3,3
52,No,Research & Development,Manufacturing Director,68737,2,7,No,Other,3,3,13,6,Married,Male,1,3,0
52,Yes,Sales,Sales Representative,55442,4,2,No,Other,2,3,10,4,Single,Male,1,3,0
56,Yes,Research & Development,Research Director,64676,4,7,No,Medical,4,3,15,2,Single,Female,2,4,1
44,Yes,Research & Development,Laboratory Technician,46147,1,1,No,Life Sciences,1,3,20,7,Married,Male,4,2,0
43,Yes,Research & Development,Research Director,47063,1,0,No,Other,4,3,2,9,Divorced,Male,4,2,3
31,No,Research & Development,Research Director,42047,2,8,No,Marketing,4,4,19,3,Married,Male,2,2,0
34,No,Research & Development,Laboratory Technician,88613,4,0,Yes,Human Resources,3,3,3,8,Married,Male,1,2,2
35,Yes,Research & Development,Healthcare Representative,69812,1,40,Yes,Technical Degree,1,4,14,4,Single,Female,4,4,2
46,Yes,Sales,Sales Executive,90719,2,1,No,Marketing,4,4,7,5,Single,Male,1,1,0
37,Yes,Research & Development,Manufacturing Director,93710,4,6,Yes,Human Resources,1,3,8,4,Single,Male,4,3,1
44,No,Sales,Sales Executive,52122,2,3,No,Medical,2,3,29,9,Married,Male,2,2,2
35,No,Sales,Sales Representative,89684,3,0,No,Life Sciences,3,3,11,6,Married,Female,3,2,3
21,No,Research & Development,Laboratory Technician,64604,4,0,No,Life Sciences,1,4,29,6,Divorced,Female,1,4,1
18,Yes,Research & Development,Manufacturing Director,60557,1,6,Yes,Human Resources,2,3,22,0,Married,Female,4,3,0
18,No,Research & Development,Laboratory Technician,100066,1,11,Yes,Marketing,2,3,20,1,Divorced,Male,4,2,1
43,No,Research & Development,Manufacturing Director,80505,3,12,No,Technical Degree,2,3,6,6,Single,Male,4,1,1
37,No,Research & Development,Research Scientist,55132,4,4,No,Medical,4,3,29,7,Single,Female,2,2,1
40,No,Sales,Sales Executive,78686,2,10,No,Human Resources,4,3,11,3,Divorced,Female,2,3,1
27,No,Research & Development,Research Scientist,29560,1,7,Yes,Medical,3,3,17,5,Married,Female,3,1,0
28,No,Research & Development,Research Scientist,71924,3,9,Yes,Life Sciences,3,3,29,9,Divorced,Female,2,4,0
58,Yes,Research & Development,Research Scientist,23011,3,4,Yes,Other,2,3,10,2,Single,Male,1,1,2
58,No,Research & Development,Research Scientist,37436,4,7,No,Other,3,3,24,6,Married,Female,2,3,2
22,No,Research & Development,Laboratory Technician,81369,4,11,No,Technical Degree,4,3,17,2,Married,Female,4,3,3
18,No,Sales,Sales Executive,20000,1,3,Yes,Medical,3,3,21,6,Single,Female,1,1,3
34,No,Research & Development,Research Scientist,115470,3,11,Yes,Human Resources,1,3,2,7,Married,Male,2,2,2
39,Yes,Sales,Sales Representative,88365,2,6,No,Technical Degree,4,3,6,2,Married,Male,1,3,2
51,Yes,Research & Development,Laboratory Technician,20000,3,1,No,Marketing,2,4,25,1,Single,Male,1,1,1
58,Yes,Research & Development,Laboratory Technician,132157,2,0,No,Other,2,3,5,5,Single,Male,2,3,2
46,Yes,Research & Development,Research Director,139874,2,3,Yes,Human Resources,3,3,4,3,Single,Male,1,2,3
21,No,Research & Development,Manufacturing Director,59946,1,5,No,Medical,4,3,2,7,Single,Female,4,2,2
22,No,Sales,Manager,39058,3,12,No,Technical Degree,2,3,12,1,Married,Male,4,1,1
28,Yes,Sales,Manager,112216,2,0,Yes,Human Resources,2,3,3,3,Single,Male,2,4,3
38,No,Research & Development,Laboratory Technician,55373,4,11,Yes,Technical Degree,4,3,6,1,Single,Male,2,4,0
52,No,Research & Development,Healthcare Representative,69509,2,13,No,Technical Degree,4,3,24,1,Divorced,Male,4,2,2
29,No,Sales,Sales Representative,99084,4,1,Yes,Technical Degree,2,3,14,1,Married,Female,2,4,0
43,No,Sales,Sales Executive,60701,4,13,Yes,Medical,3,3,8,0,Married,Male,4,2,3
36,No,Research & Development,Research Scientist,58250,3,33,No,Human Resources,3,3,21,3,Married,Male,1,4,2
24,No,Sales,Manager,29372,4,9,No,Life Sciences,3,3,21,1,Divorced,Female,2,2,0
24,Yes,Research & Development,Manufacturing Director,47344,2,10,No,Life Sciences,1,3,26,8,Single,Female,3,3,2
43,No,Research & Development,Healthcare Representative,57698,4,36,No,Medical,4,3,14,8,Married,Male,4,1,0
57,Yes,Sales,Sales Executive,30320,3,6,No,Medical,2,4,29,6,Married,Female,4,1,0
22,Yes,Sales,Sales Executive,32857,1,2,No,Other,1,3,3,5,Single,Female,1,4,3
38,No,Human Resources,Human Resources,65940,2,12,Yes,Technical Degree,3,3,16,2,Married,Female,3,1,2
31,Yes,Research & Development,Manufacturing Director,20000,2,6,No,Human Resources,1,3,15,6,Divorced,Male,3,4,0
21,No,Research & Development,Manufacturing Director,40383,3,6,Yes,Human Resources,2,3,7,0,Divorced,Female,3,2,2
40,No,Research & Development,Research Scientist,119448,3,2,No,Marketing,2,3,15,8,Single,Male,4,3,2
59,No,Research & Development,Healthcare Representative,55326,3,9,No,Marketing,4,3,13,3,Single,Male,4,1,1
37,No,Human Resources,Human Resources,51819,3,0,No,Life Sciences,3,3,6,5,Divorced,Male,3,3,3
32,No,Research & Development,Manufacturing Director,55201,2,18,No,Marketing,3,3,15,5,Married,Male,2,1,2
46,Yes,Research & Development,Healthcare Representative,55643,1,2,No,Marketing,1,3,17,2,Single,Female,3,2,2
25,Yes,Sales,Manager,81096,4,0,No,Life Sciences,3,3,4,3,Married,Male,1,1,2
58,No,Research & Development,Research Scientist,79136,4,4,No,Other,1,3,22,9,Single,Male,3,1,3
36,Yes,Research & Development,Manufacturing Director,54058,1,0,No,Life Sciences,2,3,27,2,Single,Male,3,2,3
56,Yes,Research & Development,Research Director,59012,1,8,No,Marketing,2,3,22,5,Divorced,Male,3,4,2
45,No,Research & Development,Manufacturing Director,101757,1,16,No,Human Resources,2,4,27,0,Single,Female,2,4,3
44,No,Sales,Sales Representative,22711,3,12,No,Marketing,2,3,14,7,Single,Male,3,2,1
21,No,Research & Development,Research Director,63387,2,0,No,Technical Degree,2,3,15,7,Single,Female,3,4,3
32,Yes,Sales,Manager,68786,2,0,Yes,Technical Degree,1,3,28,8,Married,Female,4,1,1
52,No,Research & Development,Research Director,43252,2,11,No,Technical Degree,2,3,12,5,Single,Female,3,3,1
54,No,Sales,Manager,61776,3,18,No,Other,1,3,19,0,Married,Female,1,2,1
18,Yes,Sales,Manager,39473,2,4,No,Medical,2,4,22,2,Married,Male,4,1,0
20,No,Sales,Manager,82840,3,4,No,Technical Degree,1,3,28,0,Divorced,Female,2,2,3
41,Yes,Research & Development,Healthcare Representative,27530,2,2,No,Human Resources,1,3,10,4,Single,Female,4,3,2
44,Yes,Research & Development,Research Director,94745,1,15,Yes,Other,1,3,6,2,Divorced,Female,2,1,1
57,No,Research & Development,Healthcare Representative,62947,4,7,Yes,Medical,3,3,28,1,Single,Female,2,1,2
53,Yes,Human Resources,Human Resources,52455,4,2,No,Medical,1,3,25,2,Married,Female,1,3,1
51,No,Research & Development,Laboratory Technician,36868,3,2,Yes,Technical Degree,1,3,9,8,Married,Female,3,3,2
46,No,Sales,Sales Executive,93858,2,15,No,Marketing,2,3,2,7,Single,Female,1,4,0
41,No,Research & Development,Manufacturing Director,46747,4,0,No,Life Sciences,1,3,4,2,Married,Male,4,1,1
41,Yes,Sales,Sales Representative,32317,1,2,No,Marketing,1,3,9,1,Single,Male,2,3,0
59,No,Human Resources,Manager,94440,1,5,No,Marketing,4,4,15,4,Single,Male,4,3,0
21,Yes,Sales,Sales Representative,39679,1,1,Yes,Medical,3,3,13,0,Married,Male,2,1,3
20,No,Human Resources,Manager,62354,3,0,No,Medical,4,3,20,3,Married,Female,4,4,2
51,No,Sales,Manager,87926,3,11,No,Other,2,3,8,7,Single,Female,2,2,1
40,Yes,Research & Development,Research Director,69422,2,15,No,Other,3,3,26,0,Single,Female,1,4,0
40,No,Research & Development,Research Scientist,113463,1,12,Yes,Medical,3,4,28,4,Single,Female,2,3,2
22,No,Human Resources,Human Resources,41621,2,16,No,Human Resources,4,4,19,3,Married,Male,3,2,3
48,Yes,Sales,Sales Executive,59105,2,5,Yes,Human Resources,3,3,19,5,Married,Female,1,2,2
58,No,Research & Development,Research Scientist,61271,1,11,No,Life Sciences,4,3,25,6,Single,Male,3,4,2
23,No,Human Resources,Manager,82394,2,3,Yes,Medical,1,3,16,8,Single,Male,4,2,3
54,No,Research & Development,Laboratory Technician,101081,4,7,Yes,Technical Degree,4,3,11,0,Married,Male,4,3,3
27,No,Research & Development,Healthcare Representative,67061,3,31,Yes,Other,3,3,10,9,Divorced,Female,2,1,3
57,Yes,Research & Development,Research Scientist,61145,2,1,No,Medical,3,3,8,3,Married,Male,2,1,0
24,No,Research & Development,Research Director,23476,1,3,No,Human Resources,2,3,1,5,Divorced,Female,4,1,2
56,No,Research & Development,Research Director,68146,3,4,No,Medical,2,4,10,9,Single,Male,1,4,3
55,No,Research & Development,Research Scientist,46791,3,1,No,Human Resources,2,3,18,6,Divorced,Male,3,1,2
38,Yes,Research & Development,Research Scientist,82316,2,0,No,Medical,2,3,3,6,Married,Male,4,1,2
37,Yes,Sales,Sales Executive,53528,4,12,No,Technical Degree,3,4,11,7,Divorced,Male,1,1,0
20,Yes,Sales,Sales Representative,58262,2,26,No,Life Sciences,2,3,18,9,Single,Female,3,2,2
39,Yes,Research & Development,Laboratory Technician,24112,4,3,Yes,Technical Degree,4,3,3,7,Married,Male,2,2,0
21,No,Research & Development,Laboratory Technician,20000,3,0,No,Human Resources,1,3,8,7,Married,Female,1,2,3
45,No,Research & Development,Manufacturing Director,117107,2,0,No,Other,3,3,27,7,Married,Female,1,3,3
29,No,Research & Development,Research Director,68631,1,15,No,Other,2,4,27,7,Divorced,Female,4,3,2
55,Yes,Sales,Manager,76321,2,4,No,Marketing,3,3,28,5,Married,Male,3,3,0
53,Yes,Sales,Sales Representative,39455,4,2,Yes,Technical Degree,2,3,14,8,Divorced,Female,4,1,0
58,No,Research & Development,Manufacturing Director,89514,4,4,Yes,Medical,3,3,6,2,Married,Male,2,2,1
22,Yes,Research & Development,Manufacturing Director,84463,2,2,No,Life Sciences,2,4,15,5,Married,Male,2,3,1
30,No,Research & Development,Research Director,42532,4,4,Yes,Medical,1,4,14,4,Single,Male,3,4,3
40,Yes,Sales,Sales Representative,35333,3,13,Yes,Medical,2,3,7,7,Divorced,Female,3,2,3
47,Yes,Human Resources,Human Resources,44489,2,6,Yes,Technical Degree,4,3,10,3,Married,Male,3,1,1
54,No,Human Resources,Manager,64208,4,8,No,Life Sciences,3,3,15,3,Married,Male,4,2,0
42,Yes,Research & Development,Research Scientist,69678,2,3,Yes,Marketing,3,3,29,9,Married,Male,3,1,2
44,Yes,Research & Development,Laboratory Technician,66075,2,9,No,Medical,4,3,10,9,Married,Male,3,3,2
31,Yes,Sales,Manager,101364,1,7,No,Life Sciences,4,3,22,4,Divorced,Male,4,1,0
53,Yes,Research & Development,Research Scientist,44981,2,0,No,Marketing,1,3,17,5,Single,Female,2,1,3
56,No,Research & Development,Research Scientist,34573,1,5,Yes,Medical,3,3,27,3,Single,Male,2,4,2
33,Yes,Sales,Manager,65002,4,2,No,Life Sciences,1,3,19,1,Single,Female,1,2,0
39,No,Research & Development,Research Director,20000,1,11,No,Technical Degree,3,4,29,1,Divorced,Female,2,1,2
38,No,Research & Development,Laboratory Technician,84480,1,3,No,Other,3,3,17,2,Single,Female,3,4,0
38,Yes,Research & Development,Research Scientist,67742,1,36,No,Other,1,3,12,1,Single,Male,2,4,1
25,No,Research & Development,Laboratory Technician,55534,3,0,No,Medical,3,4,15,0,Single,Female,4,4,1
33,Yes,Research & Development,Research Director,53980,1,10,Yes,Medical,3,3,26,7,Married,Male,2,3,2
48,No,Research & Development,Research Director,90479,2,7,No,Life Sciences,1,3,12,4,Married,Male,2,3,2
59,No,Research & Development,Manufacturing Director,89588,1,10,No,Other,2,3,25,9,Single,Female,1,1,2
27,Yes,Research & Development,Research Director,58101,2,2,Yes,Medical,1,3,29,0,Divorced,Female,1,2,2
49,No,Sales,Manager,81569,1,4,No,Marketing,3,3,9,8,Divorced,Female,3,3,1
51,No,Sales,Sales Representative,89174,3,11,No,Medical,4,3,5,7,Single,Female,4,3,1
26,No,Research & Development,Research Scientist,74394,4,1,Yes,Other,2,3,4,3,Married,Male,3,1,0
34,No,Research & Development,Manufacturing Director,59246,1,1,Yes,Human Resources,4,3,12,7,Married,Female,4,1,2
28,Yes,Human Resources,Human Resources,75672,1,5,Yes,Other,2,3,16,9,Single,Male,4,3,1
49,Yes,Sales,Sales Representative,35905,3,5,No,Marketing,4,3,9,6,Single,Male,1,1,3
27,Yes,Research & Development,Research Scientist,66990,1,2,Yes,Life Sciences,2,3,25,6,Married,Female,2,4,0
39,No,Research & Development,Research Director,58472,2,2,Yes,Marketing,1,3,3,0,Married,Female,2,1,0
34,Yes,Human Resources,Human Resources,54083,1,2,Yes,Human Resources,2,3,21,5,Single,Male,1,4,0
21,No,Research & Development,Laboratory Technician,20000,1,10,No,Human Resources,2,3,3,3,Divorced,Male,3,3,3
42,No,Research & Development,Manufacturing Director,36227,4,7,No,Medical,2,3,26,9,Married,Male,2,2,3
